figure,description,script_old,script_new,results_dir_old,results_dir_new,action
Figure 1,"Hippocampal snRNA-seq atlas: panel B",03-scripts/figures/Figure1B.R,03-scripts/figures/Figure1B.R,05-results/Figure1,05-results/Figure1,unchanged
Figure 1,"Hippocampal snRNA-seq atlas: panels C-D",03-scripts/figures/Figure1C-D.R,03-scripts/figures/Figure1C-D.R,05-results/Figure1,05-results/Figure1,unchanged
Figure 1,"Hippocampal snRNA-seq atlas: panels E-H",03-scripts/figures/Figure1E-H.R,03-scripts/figures/Figure1E-H.R,05-results/Figure1,05-results/Figure1,unchanged
Figure 2,"Cell-type stability across activity states: panels A-B",03-scripts/figures/Figure2A-B.R,03-scripts/figures/Figure2A-B.R,05-results/Figure2,05-results/Figure2,unchanged
Figure 2,"Cell-type stability across activity states: panels C-E",03-scripts/figures/Figure2C-E.R,03-scripts/figures/Figure2C-E.R,05-results/Figure2,05-results/Figure2,unchanged
Figure 2,"Cell-type stability across activity states: panels F-G",03-scripts/figures/Figure2F-G.R,03-scripts/figures/Figure2F-G.R,05-results/Figure2,05-results/Figure2,unchanged
Figure 3,"Activity-dependent gene programs: panels A/E/I",03-scripts/figures/Figure3AEI.R,03-scripts/figures/Figure3AEI.R,05-results/Figure3,05-results/Figure3,unchanged
Figure 3,"Activity-dependent gene programs: panels B/F/J",03-scripts/figures/Figure3BFJ.R,03-scripts/figures/Figure3BFJ.R,05-results/Figure3,05-results/Figure3,unchanged
Figure 3,"Activity-dependent gene programs: panels C/G/K",03-scripts/figures/Figure3CGK.R,03-scripts/figures/Figure3CGK.R,05-results/Figure3,05-results/Figure3,unchanged
Figure 3,"Activity-dependent gene programs: panels D/H/L",03-scripts/figures/Figure3DHL.R,03-scripts/figures/Figure3DHL.R,05-results/Figure3,05-results/Figure3,unchanged
Figure 4,"Active-cell analysis in CA1: panels A-B",03-scripts/figures/Figure4A-B.R,03-scripts/figures/Figure4A-B.R,05-results/Figure4,05-results/Figure4,unchanged
Figure 4,"Active-cell analysis in CA1: panel C (MERFISH screenshots)",03-scripts/figures/Figure4C.R,03-scripts/figures/Figure4C.R,05-results/Figure4,05-results/Figure4,unchanged
Figure 4,"Active-cell analysis in CA1: panels D-E",03-scripts/figures/Figure4D-E.R,03-scripts/figures/Figure4D-E.R,05-results/Figure4,05-results/Figure4,unchanged
Figure 4,"Active-cell analysis in CA1: panel F",03-scripts/figures/Figure4F.R,03-scripts/figures/Figure4F.R,05-results/Figure4,05-results/Figure4,unchanged
Figure 5,"Circadian transcriptional programs: panel A",03-scripts/figures/Figure5A.R,03-scripts/figures/Figure5A.R,05-results/Figure5,05-results/Figure5,unchanged
Figure 5,"Circadian transcriptional programs: panels B-E heatmaps",03-scripts/figures/Figure5B-E_heatmaps.R,03-scripts/figures/Figure5B-E_heatmaps.R,05-results/Figure5,05-results/Figure5,unchanged
Figure 5,"Circadian transcriptional programs: panels B-E UMAPs",03-scripts/figures/Figure5B-E_umaps.R,03-scripts/figures/Figure5B-E_umaps.R,05-results/Figure5,05-results/Figure5,unchanged
Figure 6,"Convergence of circadian and activity programs: panels A-J",03-scripts/figures/Figure6A-J.R,03-scripts/figures/Figure6A-J.R,05-results/Figure6,05-results/Figure6,unchanged
Figure 1—figure supplement 1,Experimental design and biological replicates.,03-scripts/figures/SuppTable1.R,03-scripts/figures/Figure1_SuppFig1.R,05-results/Figure1_SuppFig1,05-results/Figure1_SuppFig1,renamed; save path fixed
Figure 1—figure supplement 2,snRNA-seq quality-control workflow.,n/a,n/a,05-results/Figure1_SuppFig2,05-results/Figure1_SuppFig2,"no script (Illustrator schematic)"
Figure 1—figure supplement 3,UMIs per biological replicate by cell Class.,03-scripts/figures/SuppFigure2-3.R,03-scripts/figures/Figure1_SuppFig3-4.R,05-results/Figure1_SuppFig3,05-results/Figure1_SuppFig3,renamed; save path + output filenames fixed
Figure 1—figure supplement 4,Genes per biological replicate by cell Class.,03-scripts/figures/SuppFigure2-3.R,03-scripts/figures/Figure1_SuppFig3-4.R,05-results/Figure1_SuppFig4,05-results/Figure1_SuppFig4,renamed; save path + output filenames fixed
Figure 2—figure supplement 1,Venn diagrams of limma-voom DEGs.,03-scripts/figures/SuppFigure_Fig2_Supp1.R,03-scripts/figures/Figure2_SuppFig1.R,05-results/Figure2_SuppFig2,05-results/Figure2_SuppFig1,renumber (was supp 2); renamed; save path fixed
Figure 2—figure supplement 2,"Forest plots of IEGs from different DEG methods, CA1.",03-scripts/R/manuscript_DGE_reviewer_response_05a_forest_plots_CA1.R,03-scripts/figures/Figure2_SuppFig2.R,04-analysis/reviewer_response/forest_plots (now 04-analysis/dge_method_comparison/forest_plots),05-results/Figure2_SuppFig2,moved R/ -> figures/; plots redirected out of gitignored 04-analysis
Figure 2—figure supplement 3,"Forest plots of IEGs from different DEG methods, DG.",03-scripts/R/manuscript_DGE_reviewer_response_05b_forest_plots_DG.R,03-scripts/figures/Figure2_SuppFig3.R,04-analysis/reviewer_response/forest_plots (now 04-analysis/dge_method_comparison/forest_plots),05-results/Figure2_SuppFig3,moved R/ -> figures/; plots redirected out of gitignored 04-analysis
