sample,sex,age,hemisphere_seq
KA_30m1,F,29,R
KA_30m2,M,29,L
KA_30m3,F,29,L
KA_6h1,F,29,L
KA_6h2,M,29,L
KA_6h3,F,29,R
ZT0_SE1,M,30,R
ZT0_SE2,F,30,R
ZT0_SE3,F,30,L
ZT0_SE4,M,30,L
ZT0_30m1,F,30,R
ZT0_30m2,F,30,L
ZT0_30m3,M,30,R
ZT0_30m4,M,30,L
ZT0_6h1,F,29,R
ZT0_6h2,M,29,R
ZT0_6h3,F,29,R
ZT4_SE1,M,28,R
ZT4_SE2,F,28,R
ZT4_SE3,M,29,L
ZT4_SE4,F,29,L
ZT4_30m1,M,28,R
ZT4_30m2,F,28,R
ZT4_30m3,F,29,L
ZT4_30m4,M,29,L
ZT4_6h1,F,28,R
ZT4_6h2,F,28,R
ZT4_6h3,M,28,L
ZT12_SE1,M,30,R
ZT12_SE2,F,30,R
ZT12_SE3,M,30,L
ZT12_30m1,M,32,R
ZT12_30m2,F,32,R
ZT12_30m3,M,32,L
ZT12_6h1,M,31,L
ZT12_6h2,F,31,R
ZT12_6h3,F,31,L
ZT16_SE1,F,28,R
ZT16_SE2,M,28,R
ZT16_SE3,F,28,L
ZT16_SE4,M,28,L
ZT16_30m1,M,28,R
ZT16_30m2,F,28,R
ZT16_30m3,F,29,L
ZT16_30m4,M,29,L
ZT16_6h1,F,32,R
ZT16_6h2,F,32,L
ZT16_6h3,M,32,R
